objective_number,objective_title,objective_repo,issue_number,issue_title,issue_repo,depth,pr_number,pr_title,pr_repo,pr_state,pr_url
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,181,Update favicon text,Disasters-Learning-Portal/disasters-portal,4,182,Update favicon text,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/182
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,183,Update 'About Us' Page,Disasters-Learning-Portal/disasters-portal,4,206,fix: update text and moved header to single line,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/206
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,185,Update 'Prepare' Page,Disasters-Learning-Portal/disasters-portal,4,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,186,Update 'Build Resilience' Page,Disasters-Learning-Portal/disasters-portal,4,218,fix: Update Build Resilience content,Disasters-Learning-Portal/disasters-portal,CLOSED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/218
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,187,Update top nav header - About us,Disasters-Learning-Portal/disasters-portal,4,184,update header top nav,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/184
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,188,Update 'Respond' Page,Disasters-Learning-Portal/disasters-portal,4,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,189,Updates to 'Activations' Section,Disasters-Learning-Portal/disasters-portal,4,222,fix: Update Activations Titles,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/222
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,192,Activations - US Winter Storm January 2026,Disasters-Learning-Portal/disasters-portal,5,225,fix: Changes to Winter Storm January 2026 Activation Page,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/225
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,193,Activations - Typhoon Sinlaku April 2026,Disasters-Learning-Portal/disasters-portal,5,226,fix: Changes to Typhoon Sinlaku April 2026 Activation Page,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/226
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,194,Activations - Texas Flooding July 2025,Disasters-Learning-Portal/disasters-portal,5,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,195,Activations - Southern California Wildfires January 2025,Disasters-Learning-Portal/disasters-portal,5,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,190,Update Footer,Disasters-Learning-Portal/disasters-portal,4,191,update footer title and email,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/191
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,196,Update Data Stories Section,Disasters-Learning-Portal/disasters-portal,4,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,197,Update 'Resources and Learning',Disasters-Learning-Portal/disasters-portal,4,227,fix: Update Resources and Learning Featured Articles for Respond Page,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/227
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,198,Update home page (minor),Disasters-Learning-Portal/disasters-portal,4,205,fix: update home page text per recommendations,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/205
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,199,Change default text in ALL Under Development pages,Disasters-Learning-Portal/disasters-portal,4,207,"fix: removed label, updates text per recommendations",Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/207
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,200,Update ALL Data Visualization blocks to have different basemap,Disasters-Learning-Portal/disasters-portal,4,269,feat(blocks): add Carto Dark and OpenFreeMap basemaps,NASA-IMPACT/tinacms-portal-monorepo,MERGED,https://github.com/NASA-IMPACT/tinacms-portal-monorepo/pull/269
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,201,Home page Data Visualization,Disasters-Learning-Portal/disasters-portal,5,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,202,Home page > Add caption to Data Visualization,Disasters-Learning-Portal/disasters-portal,4,203,fix: add caption to homepage data viz,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/203
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,209,Remove sticky nav placeholder,Disasters-Learning-Portal/disasters-portal,4,208,fix: remove placeholder page sidebar per recommendations,Disasters-Learning-Portal/disasters-portal,MERGED,https://github.com/Disasters-Learning-Portal/disasters-portal/pull/208
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,211,Update Home Page Data Visualization legend,Disasters-Learning-Portal/disasters-portal,4,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,212,Update 'Recover' Page,Disasters-Learning-Portal/disasters-portal,4,,,,,
721,Objective 1 - [Dashboard]: Deliver Disasters Portal MVP for User Testing,NASA-IMPACT/veda-architecture,213,Update Data Gallery,Disasters-Learning-Portal/disasters-portal,4,,,,,
